Name_F	 Name_L	Hours_Min 	Hours_Max	Shift_1  Shift_2 		Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
Tim 		 Newman	20				30				Night		Afternoon 	y			n 			y				y 			y 			y 			n
Fay 		 Silva	40				50				Morning	-				n 			y 			n  			n  		n 			n 			y
Patrick 	 Newman	20				20				Morning	Afternoon	n 			n 			n 				y 			y 			n 			n
John  	 Smith	20				40				Morning	Afternoon	y 			y 			n 				n 			y 			n 			n
Jane	 	 Doe		20				40				Morning	Afternoon	n 			n 			y 				y 			n 			n 			n
Jack  	 Daniels	20				30				Morning	Afternoon	n 			n 			n 				n 			n 			n 			y
Tom		 Cooper	20				40				Morning	Afternoon	y 			y 			n 				y 			y 			n 			n
Evelyn	 Johnson	20				16				Morning	Afternoon	n 			n 			y 				y 			n 			n 			n
Karen 	 Blyat	20				40				Morning	Afternoon	n 			y 			n 				y 			n 			n 			y
Fay 		 Silva	40				30				Morning	-				y 			n 			n  			n  		y 			n 			n
Atticus	 Finch	20				40				Morning	Afternoon	n 			n 			n 				n 			n 			y 			n
Harry 	 Potter	20				40				Morning	Afternoon	n 			y 			y 				n 			n 			y 			n
Luke	Skywalker	20				24				Morning	Afternoon	y 			n 			n 				n 			y 			n 			n
Han	 	 Solo		20				40				Morning	Afternoon	n 			y 			n 				n 			n 			n 			n
Chew		 Bacca	20				20				Morning	Afternoon	n 			n 			y 				n 			n 			n 			y
Seventh	 Dude		20				20				Morning	Afternoon	y 			n 			n 				n 			n 			n 			n
Eigth 	 Dude		20				40				Morning	Afternoon	n 			y 			n 				y 			y 			y 			y
Fay 		 Silva	40				50				Morning	-				n 			n 			n  			n  		n 			n 			n
Second 	 Dude		20				30				Morning	Afternoon	y 			y 			y 				n 			n 			y 			y
Third 	 Dude		20				40				Morning	Afternoon	n 			n 			n 				n 			n 			n 			n
Fourth	 Dude		20				20				Morning	Afternoon	n 			n 			n 				n 			n 			n 			y
Fifth 	 Dude		20				20				Morning	Afternoon	y 			y 			y 				n 			y 			y 			n
Sixth		 Dude		20				20				Morning	Afternoon	n 			n 			n 				n 			n 			n 			n
Seventh	 Dude		20				40				Morning	Afternoon	n 			y 			n 				n 			y 			n 			y
Eigth 	 Dude		20				10				Morning	Afternoon	y 			n 			n 				n 			n 			n 			n
